date,percent_N_positive
2019.9639025590552, 11.119530233314734
2019.9860974409448, 11.743005205428517
2020.0082923228347, 12.278943576873019
2020.0304872047245, 12.77915272355456
2020.0526820866141, 13.320807770961139
2020.074876968504, 13.379403699572407
2020.0970718503938, 13.572341513292429
2020.1192667322834, 14.147343837144447
2020.1414616141733, 14.537680204160964
2020.1636564960631, 14.900918994093843
2020.1858513779528, 15.03009388362149
2020.2080462598426, 15.15871909276818
2020.2302411417324, 15.022168491946772
2020.252436023622, 15.165864937720755
2020.274630905512, 15.144427402862988
2020.2968257874015, 15.317226926262052
2020.3190206692914, 15.483140453615917
2020.3412155511812, 15.501719650492646
2020.3634104330708, 15.282580405279788
2020.3856053149607, 15.416857328161697
2020.4078001968505, 15.502990022928671
2020.4299950787401, 15.52601552333148
2020.45218996063, 15.768497862056165
2020.4743848425198, 16.133022570940838
2020.4965797244095, 16.49499209890314
2020.5187746062993, 16.930888641011336
2020.5409694881891, 17.105420490459522
2020.5631643700788, 17.405812490168316
2020.5853592519686, 17.55257715188698
2020.6075541338582, 17.908700079433487
2020.629749015748, 18.189456829654816
2020.651943897638, 18.7173498791597
2020.6741387795275, 19.05320459193159
2020.6963336614174, 19.206565418221857
2020.7185285433072, 19.803518311953894
2020.7407234251968, 20.603733849228476
2020.7629183070867, 21.089770403420715
2020.7851131889765, 21.33092462550772
2020.8073080708662, 21.52566694552891
2020.829502952756, 22.363772474968783
2020.8516978346456, 22.5117935489868
2020.8738927165355, 22.88814138315672
2020.8960875984253, 23.4833732537912
2020.918282480315, 24.453189698152727
2020.9404773622048, 25.58189589679236
2020.9626722440946, 26.265744097415862
2020.9844014990915, 27.39100749022883
2021.0065575787403, 29.149183712929883
2021.0285843175855, 31.20207546798804
2021.0520282620923, 33.048897719526536
2021.0743192257219, 35.84515388220332
2021.0958415354332, 37.65166122221335
2021.1180364173229, 39.12913117510858
2021.140386508177, 40.84396084095235
2021.1615614454445, 43.37699276413018
2021.1844529199475, 45.98525903203817
2021.2050864735659, 48.58500144689778
2021.2279243640219, 50.78734911260398
2021.2503649934383, 53.14414515167006
2021.2734005905513, 55.28345516957481
2021.295595472441, 56.87532669737773
2021.3177903543308, 58.75960248851352
2021.3399852362206, 60.02938510875627
2021.3621801181102, 61.25418293363077
2021.384375, 62.83171327649856
2021.40656988189, 64.08686083506566
2021.4287647637796, 65.06836274666028
2021.4509596456694, 66.22269784555307
2021.473154527559, 67.22028291238415
2021.4953494094489, 68.25149639470958
2021.5175442913387, 69.35624271561773
2021.5397391732283, 70.39545095404688
2021.5619340551182, 71.20191369213609
2021.5839607939633, 72.34570826029798
2021.6063238188976, 73.7700220977201
2021.6285187007875, 74.64966478434653
2021.6507135826773, 75.26242098903143
2021.672908464567, 76.11586224416502
2021.6951033464568, 76.7949727234097
2021.7172982283464, 77.7154874777574
2021.7394931102363, 78.25414807585054
2021.761687992126, 78.901085238892
2021.7838828740157, 79.41101706552418
2021.8060777559056, 79.83319658358003
2021.8282726377954, 80.08515174753671
2021.850467519685, 80.68391858652595
2021.8726624015749, 81.14821528165086
2021.8948572834647, 81.85089003532255
2021.9170521653543, 82.00095277932701
2021.9392470472442, 82.18606625372519
2021.961441929134, 82.33485862529363
2021.9775836614174, 82.08956125673917
